accel,temperature,humidity,sound,machine
1.021,43.500,50.000,33.000,1
1.201,43.500,50.000,43.000,1
1.226,43.600,50.000,43.000,1
1.196,43.700,49.000,43.000,1
1.207,43.700,48.000,45.000,1
1.209,43.800,48.000,42.000,1
1.181,43.800,47.000,43.000,1
1.177,43.800,47.000,44.000,1
1.185,43.900,47.000,43.000,1
1.202,43.900,46.000,45.000,1
1.176,43.900,44.000,39.000,1
1.224,43.900,41.000,43.000,1
1.215,43.800,38.000,44.000,1
1.210,43.700,37.000,43.000,1
1.196,43.600,37.000,39.000,1
1.215,43.600,37.000,39.000,1
1.203,43.600,39.000,45.000,1
1.196,43.600,40.000,39.000,1
1.244,43.800,41.000,43.000,1
1.221,43.900,44.000,43.000,1
1.237,44.200,44.000,43.000,1
1.224,44.500,46.000,45.000,1
1.228,44.900,45.000,43.000,1
1.202,45.200,45.000,39.000,1
1.223,45.400,41.000,45.000,1
1.225,45.600,38.000,39.000,1
1.208,45.800,36.000,39.000,1
1.187,45.900,35.000,31.000,1
1.209,46.000,33.000,45.000,1
1.217,46.100,31.000,43.000,1
1.207,46.100,31.000,44.000,1
1.200,46.100,31.000,30.000,1
1.206,46.000,29.000,39.000,1
1.174,45.900,28.000,39.000,1
1.209,45.600,28.000,39.000,1
1.239,45.300,28.000,43.000,1
1.199,45.000,28.000,45.000,1
1.208,44.600,28.000,39.000,1
1.243,44.200,29.000,43.000,1
1.205,43.800,32.000,45.000,1
1.193,43.400,34.000,39.000,1
1.228,43.100,37.000,39.000,1
1.201,42.900,40.000,43.000,1
1.208,42.900,41.000,44.000,1
1.247,42.900,42.000,43.000,1
1.219,42.900,42.000,40.000,1
1.206,43.300,42.000,43.000,1
1.239,43.300,42.000,39.000,1
1.213,43.200,42.000,45.000,1
1.240,43.200,42.000,33.000,1
1.219,43.300,45.000,38.000,1
1.246,43.300,45.000,46.000,1
1.236,43.400,43.000,46.000,1
1.243,43.400,41.000,39.000,1
1.222,43.400,39.000,34.000,1
1.231,43.500,37.000,45.000,1
1.247,43.500,37.000,39.000,1
1.233,43.500,37.000,43.000,1
1.230,43.500,40.000,39.000,1
1.232,43.600,42.000,44.000,1
1.238,43.800,44.000,45.000,1
1.258,44.000,44.000,43.000,1
1.213,44.300,45.000,40.000,1
1.215,44.500,43.000,39.000,1
1.253,44.700,42.000,43.000,1
1.242,44.800,41.000,43.000,1
1.225,45.100,40.000,39.000,1
1.217,45.400,40.000,40.000,1
1.236,45.600,39.000,43.000,1
1.233,45.900,38.000,39.000,1
1.235,46.100,37.000,39.000,1
1.213,46.300,37.000,45.000,1
1.272,46.600,36.000,43.000,1
1.258,46.700,35.000,43.000,1
1.212,46.900,34.000,45.000,1
1.233,47.000,33.000,45.000,1
1.275,47.100,32.000,43.000,1
1.250,47.200,31.000,43.000,1
1.233,47.300,30.000,43.000,1
1.222,47.400,29.000,43.000,1
1.248,47.400,29.000,46.000,1
1.254,47.400,28.000,43.000,1
1.214,47.400,29.000,39.000,1
1.219,47.300,29.000,46.000,1
1.038,47.300,30.000,39.000,1
1.237,47.300,30.000,44.000,1
1.038,47.200,31.000,45.000,1
1.086,47.200,32.000,46.000,1
1.050,47.200,33.000,31.000,1
1.070,47.200,33.000,44.000,1
1.085,47.200,34.000,43.000,1
1.123,47.300,34.000,46.000,1
1.117,47.400,33.000,45.000,1
1.080,47.400,33.000,43.000,1
1.121,47.500,32.000,43.000,1
1.108,47.500,32.000,31.000,1
1.116,47.500,32.000,43.000,1
1.114,47.500,32.000,43.000,1
1.117,47.500,32.000,43.000,1
1.073,47.600,31.000,44.000,1
1.095,47.700,30.000,40.000,1
1.090,47.800,29.000,43.000,1
1.109,47.900,28.000,46.000,1
1.117,48.000,26.000,44.000,1
1.077,48.000,25.000,45.000,1
1.130,48.000,25.000,40.000,1
1.116,48.000,25.000,36.000,1
1.123,48.000,25.000,43.000,1
1.095,47.900,25.000,43.000,1
1.082,47.900,25.000,40.000,1
1.030,47.900,25.000,41.000,1
1.007,47.900,25.000,44.000,1
1.033,47.800,25.000,44.000,1
1.026,47.800,25.000,43.000,1
1.108,47.800,25.000,44.000,1
1.126,47.800,25.000,39.000,1
1.123,47.700,25.000,33.000,1
1.095,47.700,25.000,40.000,1
1.044,47.600,25.000,39.000,1
1.044,47.600,26.000,43.000,1
1.038,47.600,26.000,39.000,1
1.045,47.600,26.000,43.000,1
1.048,47.600,27.000,46.000,1
1.074,47.600,27.000,40.000,1
1.027,47.600,27.000,43.000,1
1.059,47.600,27.000,45.000,1
1.031,47.600,26.000,39.000,1
1.047,47.600,27.000,39.000,1
1.052,47.600,26.000,32.000,1
1.056,47.600,26.000,31.000,1
1.068,47.600,26.000,46.000,1
1.057,47.700,26.000,44.000,1
1.066,47.700,26.000,43.000,1
1.061,47.800,26.000,43.000,1
1.075,47.900,26.000,43.000,1
1.059,47.900,25.000,43.000,1
1.039,48.000,25.000,33.000,1
1.075,48.100,25.000,43.000,1
1.058,48.100,24.000,44.000,1
1.078,48.200,24.000,44.000,1
1.047,48.300,24.000,39.000,1
1.081,48.300,23.000,46.000,1
1.035,48.300,22.000,33.000,1
1.050,48.300,22.000,43.000,1
1.081,48.300,22.000,43.000,1
1.053,48.300,22.000,45.000,1
1.085,48.300,22.000,40.000,1
1.050,48.300,21.000,43.000,1
1.073,48.300,21.000,44.000,1
1.085,48.200,21.000,44.000,1
1.064,48.200,21.000,46.000,1
1.041,48.200,21.000,46.000,1
1.067,48.200,22.000,43.000,1
1.038,48.100,22.000,43.000,1
1.084,48.100,22.000,38.000,1
1.047,48.100,22.000,43.000,1
1.069,48.000,22.000,45.000,1
1.086,48.000,22.000,32.000,1
1.031,47.900,22.000,43.000,1
1.075,47.900,22.000,46.000,1
1.056,47.900,23.000,33.000,1
1.083,47.900,23.000,43.000,1
1.078,47.900,23.000,39.000,1
1.063,47.900,23.000,37.000,1
1.079,47.900,23.000,44.000,1
1.042,47.900,22.000,43.000,1
1.059,47.900,22.000,43.000,1
1.079,47.900,22.000,39.000,1
1.053,47.900,22.000,43.000,1
1.044,47.900,22.000,39.000,1
1.038,47.900,22.000,43.000,1
1.053,47.900,22.000,46.000,1
1.042,47.900,21.000,43.000,1
1.084,48.000,21.000,44.000,1
1.067,48.000,21.000,43.000,1
1.085,48.100,21.000,46.000,1
1.037,48.100,21.000,39.000,1
1.054,48.100,21.000,44.000,1
1.076,48.100,21.000,33.000,1
1.071,48.200,21.000,46.000,1
1.067,48.200,20.000,43.000,1
1.047,48.200,20.000,43.000,1
1.043,48.200,19.000,43.000,1
1.078,48.200,19.000,45.000,1
1.065,48.200,19.000,43.000,1
1.048,48.200,19.000,43.000,1
1.047,48.200,19.000,32.000,1
1.064,48.100,19.000,39.000,1
1.075,48.200,19.000,39.000,1
1.035,48.100,18.000,32.000,1
1.056,48.100,18.000,40.000,1
1.083,48.100,18.000,43.000,1
1.093,48.100,18.000,43.000,1
1.038,48.100,18.000,40.000,1
1.047,48.100,18.000,43.000,1
1.075,48.000,17.000,38.000,1
1.080,47.900,17.000,38.000,1
1.081,47.900,17.000,46.000,1
1.080,47.800,17.000,40.000,1
1.094,47.800,17.000,45.000,1
1.076,47.700,17.000,43.000,1
1.060,47.700,17.000,44.000,1
1.030,47.700,17.000,43.000,1
1.044,47.800,17.000,43.000,1
1.076,47.800,17.000,43.000,1
1.080,47.800,16.000,43.000,1
1.058,47.800,16.000,46.000,1
1.083,47.800,16.000,39.000,1
1.065,47.800,16.000,45.000,1
1.079,47.700,16.000,43.000,1
1.061,47.600,16.000,43.000,1
1.067,47.600,16.000,44.000,1
1.057,47.500,16.000,32.000,1
1.073,47.500,16.000,39.000,1
1.084,47.500,17.000,43.000,1
1.060,47.400,17.000,39.000,1
1.081,47.400,17.000,43.000,1
1.047,47.400,17.000,43.000,1
1.092,47.400,17.000,46.000,1
1.036,47.400,17.000,45.000,1
1.058,47.400,17.000,39.000,1
1.057,47.400,17.000,43.000,1
1.073,47.400,17.000,39.000,1
1.068,47.400,17.000,43.000,1
1.061,47.400,17.000,46.000,1
1.101,47.400,17.000,44.000,1
1.037,47.400,18.000,43.000,1
1.067,47.400,18.000,39.000,1
1.023,47.400,19.000,43.000,1
1.064,47.400,19.000,40.000,1
1.077,47.400,19.000,43.000,1
1.058,47.400,20.000,46.000,1
1.060,47.400,20.000,39.000,1
1.054,47.400,20.000,44.000,1
1.077,47.400,20.000,40.000,1
1.072,47.500,21.000,39.000,1
1.087,47.500,21.000,45.000,1
1.071,47.600,21.000,43.000,1
1.076,47.600,21.000,43.000,1
1.069,47.600,21.000,31.000,1
1.049,47.700,20.000,39.000,1
1.042,47.800,20.000,45.000,1
1.056,47.900,21.000,46.000,1
1.037,48.000,22.000,43.000,1
1.042,48.100,22.000,43.000,1
1.072,48.200,22.000,43.000,1
1.035,48.400,22.000,45.000,1
1.084,48.600,22.000,45.000,1
1.071,48.900,21.000,43.000,1
1.069,49.100,19.000,43.000,1
1.088,49.200,18.000,46.000,1
1.053,49.300,17.000,39.000,1
1.073,49.300,17.000,43.000,1
1.047,49.300,17.000,45.000,1
1.065,49.300,17.000,43.000,1
1.034,49.300,17.000,32.000,1
1.063,49.300,18.000,39.000,1
1.074,49.300,18.000,39.000,1
1.060,49.300,19.000,44.000,1
1.085,49.300,19.000,43.000,1
1.081,49.300,19.000,43.000,1
1.092,49.300,19.000,40.000,1
1.050,49.400,18.000,45.000,1
1.068,49.500,17.000,43.000,1
1.052,49.600,17.000,46.000,1
1.015,49.700,16.000,46.000,1
1.051,49.800,16.000,39.000,1
1.040,49.800,15.000,43.000,1
1.061,49.800,16.000,43.000,1
1.041,49.800,15.000,39.000,1
1.047,49.900,16.000,39.000,1
1.061,49.800,15.000,44.000,1
1.021,49.800,15.000,32.000,1
1.046,49.800,15.000,32.000,1
1.034,49.700,15.000,45.000,1
1.061,49.700,15.000,39.000,1
1.074,49.600,15.000,45.000,1
1.080,49.600,16.000,43.000,1
1.093,49.600,17.000,43.000,1
1.089,49.600,18.000,43.000,1
1.058,49.600,18.000,43.000,1
1.061,49.600,18.000,44.000,1
1.093,49.600,18.000,45.000,1
1.078,49.600,18.000,46.000,1
1.036,49.600,18.000,31.000,1
1.054,49.500,18.000,34.000,1
1.036,49.500,18.000,45.000,1
1.090,49.500,18.000,39.000,1
1.039,49.500,18.000,43.000,1
1.080,49.600,18.000,43.000,1
1.072,49.600,16.000,39.000,1
1.093,49.600,16.000,39.000,1
1.099,49.600,15.000,39.000,1
1.078,49.600,15.000,43.000,1
1.071,49.500,15.000,31.000,1
1.059,49.400,15.000,43.000,1
1.080,49.300,15.000,39.000,1
1.062,49.200,15.000,43.000,1
1.061,49.200,15.000,43.000,1
1.046,49.100,15.000,43.000,1
1.099,49.000,15.000,45.000,1
1.051,48.900,15.000,39.000,1
1.087,48.800,16.000,43.000,1
1.075,48.800,16.000,45.000,1
1.056,48.700,17.000,43.000,1
1.089,48.600,18.000,39.000,1
1.021,48.500,17.000,43.000,1
1.042,48.400,18.000,45.000,1
1.048,48.300,17.000,33.000,1
1.030,48.200,17.000,39.000,1
1.076,48.100,18.000,44.000,1
1.089,48.000,19.000,39.000,1
1.063,47.900,20.000,45.000,1
1.090,47.900,22.000,46.000,1
1.037,47.900,23.000,45.000,1
1.076,47.900,23.000,44.000,1
1.068,48.000,22.000,45.000,1
1.066,48.000,21.000,45.000,1
1.059,48.100,20.000,44.000,1
1.068,48.100,19.000,45.000,1
1.064,48.100,19.000,43.000,1
1.046,48.100,19.000,45.000,1
1.051,48.000,18.000,39.000,1
1.056,47.900,19.000,32.000,1
1.039,47.900,19.000,43.000,1
1.059,47.800,21.000,45.000,1
1.049,47.800,21.000,43.000,1
1.072,47.800,22.000,43.000,1
1.060,47.800,22.000,37.000,1
1.026,47.800,22.000,44.000,1
1.107,47.900,21.000,43.000,1
1.060,47.900,20.000,43.000,1
1.063,47.800,20.000,39.000,1
1.073,47.800,20.000,43.000,1
1.082,47.800,20.000,43.000,1
1.093,47.700,19.000,43.000,1
1.071,47.700,20.000,45.000,1
1.079,47.700,21.000,43.000,1
1.044,47.700,22.000,32.000,1
1.076,47.700,21.000,39.000,1
1.053,47.800,22.000,40.000,1
1.093,47.900,24.000,44.000,1
1.035,48.000,23.000,45.000,1
1.052,48.100,23.000,31.000,1
1.070,48.200,22.000,39.000,1
1.068,48.300,22.000,39.000,1
1.089,48.400,23.000,31.000,1
1.041,48.500,24.000,45.000,1
1.074,48.600,24.000,42.000,1
1.066,48.700,25.000,44.000,1
1.080,48.800,26.000,43.000,1
1.071,49.000,25.000,46.000,1
1.049,49.100,24.000,44.000,1
1.083,49.200,23.000,43.000,1
1.083,49.300,23.000,43.000,1
1.072,49.400,23.000,43.000,1
1.094,49.500,22.000,31.000,1
1.077,49.700,22.000,46.000,1
1.071,49.800,20.000,44.000,1
1.054,50.000,19.000,43.000,1
1.072,50.100,17.000,39.000,1
1.042,50.100,16.000,43.000,1
1.086,50.200,16.000,31.000,1
1.056,50.200,16.000,39.000,1
1.066,50.100,16.000,39.000,1
1.038,50.100,16.000,39.000,1
1.053,50.000,16.000,45.000,1
1.061,50.000,17.000,45.000,1
1.049,50.000,17.000,40.000,1
1.084,50.000,17.000,39.000,1
1.044,50.000,17.000,32.000,1
1.077,50.000,16.000,45.000,1
1.090,50.000,17.000,45.000,1
1.045,50.000,16.000,43.000,1
1.067,50.000,16.000,45.000,1
1.071,49.900,16.000,39.000,1
1.089,49.800,15.000,39.000,1
1.089,49.800,15.000,33.000,1
1.068,49.700,15.000,44.000,1
1.038,49.600,16.000,40.000,1
1.040,49.600,17.000,45.000,1
1.070,49.500,17.000,44.000,1
1.046,49.500,17.000,45.000,1
1.073,49.500,17.000,43.000,1
1.072,49.500,17.000,43.000,1
1.093,49.500,17.000,46.000,1
1.034,49.600,16.000,43.000,1
1.085,49.600,16.000,45.000,1
1.051,49.600,17.000,45.000,1
1.080,49.600,17.000,39.000,1
1.052,49.700,16.000,36.000,1
1.076,49.800,17.000,39.000,1
1.068,49.800,16.000,43.000,1
1.085,49.900,16.000,36.000,1
1.051,49.900,15.000,44.000,1
1.050,49.900,15.000,39.000,1
1.065,49.900,15.000,43.000,1
1.068,49.800,15.000,45.000,1
1.083,49.800,16.000,31.000,1
1.058,49.700,17.000,33.000,1
1.088,49.700,17.000,43.000,1
1.095,49.700,17.000,43.000,1
1.055,49.600,17.000,43.000,1
1.092,49.600,17.000,44.000,1
1.025,49.500,17.000,39.000,1
1.079,49.500,16.000,44.000,1
1.049,49.400,17.000,43.000,1
1.076,49.400,18.000,43.000,1
1.074,49.400,18.000,43.000,1
1.097,49.400,18.000,43.000,1
1.059,49.400,17.000,39.000,1
1.092,49.400,17.000,33.000,1
1.085,49.400,17.000,39.000,1
1.042,49.400,17.000,45.000,1
1.083,49.400,17.000,43.000,1
1.054,49.500,16.000,39.000,1
1.085,49.500,17.000,39.000,1
1.049,49.500,16.000,43.000,1
1.049,49.500,15.000,43.000,1
1.073,49.500,15.000,46.000,1
1.051,49.400,16.000,33.000,1
1.087,49.400,17.000,43.000,1
1.082,49.300,17.000,44.000,1
1.066,49.200,17.000,45.000,1
1.077,49.100,17.000,41.000,1
1.042,49.100,16.000,43.000,1
1.105,49.000,16.000,44.000,1
1.085,49.000,16.000,39.000,1
1.038,48.900,16.000,43.000,1
1.087,48.900,15.000,45.000,1
1.048,48.800,16.000,43.000,1
1.053,48.800,16.000,45.000,1
1.088,48.700,15.000,36.000,1
1.041,48.600,15.000,33.000,1
1.089,48.600,15.000,44.000,1
1.050,48.400,16.000,43.000,1
1.063,48.400,16.000,43.000,1
1.097,48.200,16.000,45.000,1
1.054,48.000,16.000,33.000,1
1.067,47.900,17.000,39.000,1
1.045,47.700,17.000,45.000,1
1.093,47.600,17.000,43.000,1
1.079,47.600,18.000,43.000,1
1.054,47.500,18.000,46.000,1
1.064,47.500,19.000,31.000,1
1.079,47.400,20.000,43.000,1
1.064,47.400,20.000,31.000,1
1.070,47.300,21.000,43.000,1
1.057,47.300,22.000,39.000,1
1.050,47.300,22.000,31.000,1
1.080,47.300,22.000,43.000,1
1.064,47.300,21.000,46.000,1
1.046,47.300,22.000,43.000,1
1.098,47.200,22.000,43.000,1
1.077,47.200,21.000,43.000,1
1.045,47.200,21.000,46.000,1
1.070,47.200,21.000,43.000,1
1.062,47.100,21.000,46.000,1
1.065,47.100,20.000,43.000,1
1.065,47.100,20.000,43.000,1
1.078,47.100,21.000,31.000,1
1.054,47.100,21.000,43.000,1
1.079,47.100,22.000,43.000,1
1.041,47.100,22.000,43.000,1
1.095,47.100,23.000,43.000,1
1.061,47.200,24.000,45.000,1
1.066,47.300,24.000,39.000,1
1.061,47.400,24.000,45.000,1
1.097,47.500,24.000,43.000,1
1.067,47.700,24.000,44.000,1
1.064,47.800,24.000,43.000,1
1.074,47.900,24.000,40.000,1
1.049,48.000,23.000,39.000,1
1.054,48.000,23.000,39.000,1
1.081,48.100,23.000,46.000,1
1.096,48.300,23.000,45.000,1
1.062,48.400,23.000,43.000,1
1.034,48.600,22.000,39.000,1
1.067,48.700,22.000,43.000,1
1.086,48.800,22.000,43.000,1
1.049,49.000,22.000,43.000,1
1.078,49.100,21.000,45.000,1
1.062,49.300,21.000,39.000,1
1.070,49.500,21.000,43.000,1
1.094,49.600,21.000,39.000,1
1.051,49.700,21.000,39.000,1
1.076,49.800,20.000,45.000,1
1.050,49.800,19.000,43.000,1
1.054,49.900,18.000,44.000,1
1.082,49.900,17.000,40.000,1
1.076,49.900,17.000,43.000,1
1.052,50.000,17.000,43.000,1
1.069,50.000,17.000,44.000,1
1.055,50.100,17.000,39.000,1
1.088,50.100,17.000,33.000,1
1.085,50.200,17.000,40.000,1
1.052,50.200,17.000,44.000,1
1.081,50.200,16.000,31.000,1
1.066,50.300,16.000,43.000,1
1.067,50.300,17.000,45.000,1
1.065,50.300,17.000,46.000,1
1.048,50.400,17.000,43.000,1
1.091,50.500,16.000,43.000,1
1.098,50.600,15.000,32.000,1
1.053,50.600,15.000,46.000,1
1.072,50.700,14.000,43.000,1
1.098,50.700,13.000,45.000,1
1.053,50.800,12.000,43.000,1
1.041,50.800,12.000,45.000,1
1.075,50.800,12.000,43.000,1
1.054,50.800,12.000,39.000,1
1.071,50.800,12.000,39.000,1
